date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:15	32974/32974	---M--	200	added ('OK')	image/png	etag:%2280ce-5d5afa1cb4680%22	http://www.sswl.in/assets/img/logo.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/logo.png	(from http://www.sswl.in/)
13:21:16	774/774	---M--	200	added ('OK')	image/png	etag:%22306-5d5afe051bec0%22	http://www.sswl.in/assets/img/L.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/L.png	(from http://www.sswl.in/)
13:21:16	773/773	---M--	200	added ('OK')	image/png	etag:%22305-5d5afe2f121c0%22	http://www.sswl.in/assets/img/R.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/R.png	(from http://www.sswl.in/)
13:21:17	4296/4296	---M--	200	added ('OK')	image/png	etag:%2210c8-5d262bfcc0480%22	http://www.sswl.in/assets/img/cancle.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/cancle.png	(from http://www.sswl.in/)
13:21:20	6746/6746	---M--	200	added ('OK')	application/javascript	etag:%221a5a-5d148c75a7d00%22	http://www.sswl.in/assets/js/main.js	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/js/main.js	(from http://www.sswl.in/)
13:21:20	3054/3054	---M--	200	added ('OK')	application/javascript	etag:%22bee-5d5a2db868e00%22	http://www.sswl.in/assets/js/sswl.js	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/js/sswl.js	(from http://www.sswl.in/)
13:21:35	84378/84378	---M--	200	added ('OK')	application/javascript	etag:%221499a-5d5a0d58fad80%22	http://www.sswl.in/assets/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/js/bootstrap.bundle.min.js	(from http://www.sswl.in/)
13:21:37	92004/92004	---M--	200	added ('OK')	text/html	etag:%2216764-5d148c75a7d00%22	http://www.sswl.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons3413.html	(from http://www.sswl.in/assets/vendor/bootstrap-icons/bootstrap-icons.css)
13:21:38	93100/93100	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/My%20Web%20Sites/sswlfix/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from http://www.sswl.in/)
13:21:39	26529/26529	---M--	200	added ('OK')	text/css	etag:%2267a1-5d5acdab5ec00%22	http://www.sswl.in/assets/css/style.css	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/css/style.css	(from http://www.sswl.in/)
13:21:40	1245/1245	---M--	200	added ('OK')	text/css	etag:%224dd-5b910f9603380%22	http://www.sswl.in/font/afont.css	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/afont.css	(from http://www.sswl.in/)
13:21:40	229/229	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:51:39%20GMT	http://www.sswl.in/assets/css/assets/img/logo2.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/css/assets/img/logo2.1b.delayed	(from http://www.sswl.in/assets/css/sswl.css)
13:21:43	155756/155756	---M--	200	added ('OK')	image/png	etag:%222606c-5d5afd9e1cbc0%22	http://www.sswl.in/assets/img/SSWL2.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/SSWL2.png	(from http://www.sswl.in/)
13:22:22	255203/255203	---M--	200	added ('OK')	image/jpeg	etag:%223e4e3-5d5af8d874980%22	http://www.sswl.in/assets/img/slide/3.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/3.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:22:27	271849/271849	---M--	200	added ('OK')	image/jpeg	etag:%22425e9-5d5af8f8e1600%22	http://www.sswl.in/assets/img/slide/4.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/4.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:22:40	368348/368348	---M--	200	added ('OK')	image/jpeg	etag:%2259edc-5d5ae70ea91c0%22	http://www.sswl.in/assets/img/slide/1.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/1.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:23:04	224168/224168	---M--	200	added ('OK')	image/jpeg	etag:%2236ba8-5d5ad975bfd40%22	http://www.sswl.in/assets/img/slide/slide-m41.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/slide-m41.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:23:17	226587/226587	---M--	200	added ('OK')	image/jpeg	etag:%223751b-5d5aca90f59c0%22	http://www.sswl.in/assets/img/slide/slide-m31.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/slide-m31.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:23:17	339083/339083	---M--	200	added ('OK')	image/jpeg	etag:%2252c8b-5d5af8b61f880%22	http://www.sswl.in/assets/img/slide/2.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/2.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:23:30	69040/69040	---M--	200	added ('OK')	image/jpeg	etag:%2210db0-5d58c5b923700%22	http://www.sswl.in/assets/img/logo2.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/logo2.jpg	(from http://www.sswl.in/)
13:23:34	19055/19055	---M--	200	added ('OK')	image/png	etag:%224a6f-5d5afab54ae80%22	http://www.sswl.in/assets/img/bg1.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/bg1.png	(from http://www.sswl.in/)
13:23:35	189799/189799	---M--	200	added ('OK')	image/jpeg	etag:%222e567-5d5ac91dfae80%22	http://www.sswl.in/assets/img/slide/slide-m21.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/slide-m21.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:23:40	179329/179329	---M--	200	added ('OK')	image/jpeg	etag:%222bc81-5d5ac7e2505c0%22	http://www.sswl.in/assets/img/slide/slide-m11.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/slide-m11.jpg	(from http://www.sswl.in/assets/css/sswl.css)
13:23:47	1145460/1145460	---M--	200	added ('OK')	image/png	etag:%22117a74-5d5b802aaccc0%22	http://www.sswl.in/assets/img/SSWL1.png	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/SSWL1.png	(from http://www.sswl.in/)
13:23:52	21660/21660	---M--	200	added ('OK')	application/font-woff	etag:%22549c-58c6a30e09580%22	http://www.sswl.in/font/Brandon%20Grot%20W01%20Light.woff	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/Brandon%20Grot%20W01%20Light.woff	(from http://www.sswl.in/font/afont.css)
13:23:55	43728/43728	---M--	200	added ('OK')	application/font-woff	etag:%22aad0-58c6a4e70f180%22	http://www.sswl.in/font/BrandonGrotesque-Regular.woff	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/BrandonGrotesque-Regular.woff	(from http://www.sswl.in/font/afont.css)
13:23:57	25712/25712	---M--	200	added ('OK')	application/font-woff	etag:%226470-5b8e6cbe00b80%22	http://www.sswl.in/font/AvenirLT-Light.woff	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/AvenirLT-Light.woff	(from http://www.sswl.in/font/afont.css)
13:23:59	10944/10944	---M--	200	added ('OK')	text/css	etag:%222ac0-5d59deb4fa380%22	http://www.sswl.in/assets/css/amit.css	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/css/amit.css	(from http://www.sswl.in/)
13:24:00	29589/29589	---M--	200	added ('OK')	application/font-woff	etag:%227395-5b8e6f4498100%22	http://www.sswl.in/font/AvenirMedium.woff	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/AvenirMedium.woff	(from http://www.sswl.in/font/afont.css)
13:24:00	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%2215d84-5d5a0d3799ec0%22	http://www.sswl.in/assets/js/jquery-3.5.1.min.js	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/js/jquery-3.5.1.min.js	(from http://www.sswl.in/)
13:24:01	123408/123408	---M--	200	added ('OK')	application/font-woff	etag:%221e210-5d148c75a7d00%22	http://www.sswl.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?a74547b2f0863226942ff8ded57db345	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/vendor/bootstrap-icons/fonts/bootstrap-icons3413.woff	(from http://www.sswl.in/assets/vendor/bootstrap-icons/bootstrap-icons.css)
13:24:01	228/228	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:54:00%20GMT	http://www.sswl.in/font/JosefinSans-SemiBold.woff	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/JosefinSans-SemiBold.woff	(from http://www.sswl.in/font/afont.css)
13:24:01	226/226	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:54:00%20GMT	http://www.sswl.in/font/DIN%20Next%20W01%20Light.woff	C:/My%20Web%20Sites/sswlfix/www.sswl.in/font/DIN%20Next%20W01%20Light.woff	(from http://www.sswl.in/font/afont.css)
13:24:02	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:54:01%20GMT	http://www.sswl.in/assets/img/slide/slide-m1.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/slide-m1.2a.delayed	(from http://www.sswl.in/assets/css/amit.css)
13:24:02	227/227	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jan%202022%2007:54:01%20GMT	http://www.sswl.in/assets/img/slide/slide-m2.jpg	C:/My%20Web%20Sites/sswlfix/www.sswl.in/assets/img/slide/slide-m2.jpg	(from http://www.sswl.in/assets/css/amit.css)
